Exp,Site,Hole,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Text ID of section,Text ID of archive half,Text ID of working half,Catwalk samples (no.),Section half samples (no.),Comments
117,730,A,10,X,3,1.5,1.5,87.9,89.4,87.9,89.4,SECT10812812,SHLF10812822,SHLF10812832,0,2,
117,730,A,10,X,4,1.5,1.5,89.4,90.9,89.4,90.9,SECT10812842,SHLF10812852,SHLF10812862,0,1,
117,730,A,10,X,5,1.5,1.5,90.9,92.4,90.9,92.4,SECT10812872,SHLF10812882,SHLF10812892,0,3,
117,730,A,10,X,6,1.5,1.5,92.4,93.9,92.4,93.9,SECT10812902,SHLF10812912,SHLF10812922,0,1,
117,730,A,10,X,7,0.21,0.21,93.9,94.11,93.9,94.11,SECT10812932,SHLF10812942,SHLF10812952,0,0,
117,730,A,10,X,CC,0.23,0.23,94.11,94.34,94.11,94.34,SECT10812962,SHLF10812972,SHLF10812982,0,1,5 CM TO PALEO
117,730,A,11,X,1,1.5,1.5,94.6,96.1,94.6,96.1,SECT10813002,SHLF10813012,SHLF10813022,0,1,
117,730,A,11,X,2,1.5,1.5,96.1,97.6,96.1,97.6,SECT10813032,SHLF10813042,SHLF10813052,0,2,
117,730,A,11,X,3,1.5,1.5,97.6,99.1,97.6,99.1,SECT10813062,SHLF10813072,SHLF10813082,0,1,
117,730,A,11,X,4,1.5,1.5,99.1,100.6,99.1,100.6,SECT10813092,SHLF10813102,SHLF10813112,0,3,
117,730,A,11,X,5,1.5,1.5,100.6,102.1,100.6,102.1,SECT10813122,SHLF10813132,SHLF10813142,0,0,
117,730,A,11,X,6,1.42,1.42,102.1,103.52,102.1,103.52,SECT10813152,SHLF10813162,SHLF10813172,0,0,
117,730,A,11,X,CC,0.42,0.42,103.52,103.94,103.52,103.94,SECT10813182,SHLF10813192,SHLF10813202,0,0,5 CM TO PALEO; (RP) 'STO.IN' FROM 6 TO CC
117,730,A,12,X,1,1.5,1.5,104.2,105.7,104.2,105.7,SECT10813222,SHLF10813232,SHLF10813242,0,0,
117,730,A,12,X,2,1.5,1.5,105.7,107.2,105.7,107.2,SECT10813252,SHLF10813262,SHLF10813272,0,0,
117,730,A,12,X,3,1.5,1.5,107.2,108.7,107.2,108.7,SECT10813282,SHLF10813292,SHLF10813302,0,0,
117,730,A,12,X,4,1.5,1.5,108.7,110.2,108.7,110.2,SECT10813312,SHLF10813322,SHLF10813332,0,0,OG AT 120-145; IW AT 145-150
117,730,A,12,X,5,1.5,1.5,110.2,111.7,110.2,111.7,SECT10813342,SHLF10813352,SHLF10813362,0,0,
117,730,A,12,X,6,1.5,1.5,111.7,113.2,111.7,113.2,SECT10813372,SHLF10813382,SHLF10813392,0,0,
117,730,A,12,X,CC,0.34,0.34,113.2,113.54,113.2,113.54,SECT10813402,SHLF10813412,SHLF10813422,0,0,8 CM TO PALEO
117,730,A,13,X,1,1.5,1.5,113.9,115.4,113.9,115.4,SECT10813442,SHLF10813452,SHLF10813462,0,0,
117,730,A,13,X,2,1.5,1.5,115.4,116.9,115.4,116.9,SECT10813472,SHLF10813482,SHLF10813492,0,0,PP AT 140-150
117,730,A,13,X,3,1.5,1.5,116.9,118.4,116.9,118.4,SECT10813502,SHLF10813512,SHLF10813522,0,0,
117,730,A,13,X,4,1.5,1.5,118.4,119.9,118.4,119.9,SECT10813532,SHLF10813542,SHLF10813552,0,1,
117,730,A,13,X,5,1.5,1.5,119.9,121.4,119.9,121.4,SECT10813562,SHLF10813572,SHLF10813582,0,0,
117,730,A,13,X,6,0.19,0.19,121.4,121.59,121.4,121.59,SECT10813592,SHLF10813602,SHLF10813612,0,0,
117,730,A,13,X,CC,0.34,0.34,121.59,121.93,121.59,121.93,SECT10813622,SHLF10813632,SHLF10813642,0,0,5 CM TO PALEO
117,730,A,14,X,1,1.5,1.5,123.5,125,123.5,124.986,SECT10813662,SHLF10813672,SHLF10813682,0,0,
117,730,A,14,X,2,1.5,1.5,125,126.5,124.986,126.472,SECT10813692,SHLF10813702,SHLF10813712,0,0,
117,730,A,14,X,3,1.5,1.5,126.5,128,126.472,127.959,SECT10813722,SHLF10813732,SHLF10813742,0,0,
117,730,A,14,X,4,1.5,1.5,128,129.5,127.959,129.445,SECT10813752,SHLF10813762,SHLF10813772,0,0,
117,730,A,14,X,5,1.5,1.5,129.5,131,129.445,130.931,SECT10813782,SHLF10813792,SHLF10813802,0,0,
117,730,A,14,X,6,1.5,1.5,131,132.5,130.931,132.417,SECT10813812,SHLF10813822,SHLF10813832,0,0,
117,730,A,14,X,7,0.38,0.38,132.5,132.88,132.417,132.794,SECT10813842,SHLF10813852,SHLF10813862,0,0,
117,730,A,14,X,CC,0.41,0.41,132.88,133.29,132.794,133.2,SECT10813872,SHLF10813882,SHLF10813892,0,0,5 CM TO PALEO
117,730,A,15,X,1,1.5,1.5,133.2,134.7,133.2,134.7,SECT10813912,SHLF10813922,SHLF10813932,0,0,
117,730,A,15,X,2,1.5,1.5,134.7,136.2,134.7,136.2,SECT10813942,SHLF10813952,SHLF10813962,0,0,
117,730,A,15,X,3,1.5,1.5,136.2,137.7,136.2,137.7,SECT10813972,SHLF10813982,SHLF10813992,0,0,
117,730,A,15,X,4,1.5,1.5,137.7,139.2,137.7,139.2,SECT10814002,SHLF10814012,SHLF10814022,0,1,OG AT 120-145; IW AT 145-150
117,730,A,15,X,5,1.5,1.5,139.2,140.7,139.2,140.7,SECT10814032,SHLF10814042,SHLF10814052,0,0,
117,730,A,15,X,6,1.5,1.5,140.7,142.2,140.7,142.2,SECT10814062,SHLF10814072,SHLF10814082,0,0,
117,730,A,15,X,7,0.36,0.36,142.2,142.56,142.2,142.56,SECT10814092,SHLF10814102,SHLF10814112,0,0,
117,730,A,15,X,CC,0.22,0.22,142.56,142.78,142.56,142.78,SECT10814122,SHLF10814132,SHLF10814142,0,0,5 CM TO PALEO
117,730,A,16,X,1,1.5,1.5,142.9,144.4,142.9,144.4,SECT10814162,SHLF10814172,SHLF10814182,0,0,
117,730,A,16,X,2,1.5,1.5,144.4,145.9,144.4,145.9,SECT10814192,SHLF10814202,SHLF10814212,0,0,
117,730,A,16,X,3,1.5,1.5,145.9,147.4,145.9,147.4,SECT10814222,SHLF10814232,SHLF10814242,0,0,
117,730,A,16,X,4,1.5,1.5,147.4,148.9,147.4,148.9,SECT10814252,SHLF10814262,SHLF10814272,0,1,
117,730,A,16,X,5,1.5,1.5,148.9,150.4,148.9,150.4,SECT10814282,SHLF10814292,SHLF10814302,0,0,
117,730,A,16,X,6,1.5,1.5,150.4,151.9,150.4,151.9,SECT10814312,SHLF10814322,SHLF10814332,0,0,
117,730,A,16,X,7,0.32,0.32,151.9,152.22,151.9,152.22,SECT10814342,SHLF10814352,SHLF10814362,0,0,
117,730,A,16,X,CC,0.3,0.3,152.22,152.52,152.22,152.52,SECT10814372,SHLF10814382,SHLF10814392,0,0,5 CM TO PALEO
117,730,A,17,X,1,1.5,1.5,152.6,154.1,152.6,154.1,SECT10814412,SHLF10814422,SHLF10814432,0,0,
117,730,A,17,X,2,1.5,1.5,154.1,155.6,154.1,155.6,SECT10814442,SHLF10814452,SHLF10814462,0,0,
117,730,A,17,X,3,1.5,1.5,155.6,157.1,155.6,157.1,SECT10814472,SHLF10814482,SHLF10814492,0,0,
117,730,A,17,X,4,1.5,1.5,157.1,158.6,157.1,158.6,SECT10814502,SHLF10814512,SHLF10814522,0,0,
117,730,A,17,X,5,1.5,1.5,158.6,160.1,158.6,160.1,SECT10814532,SHLF10814542,SHLF10814552,0,0,
117,730,A,17,X,6,1.29,1.29,160.1,161.39,160.1,161.39,SECT10814562,SHLF10814572,SHLF10814582,0,1,
117,730,A,17,X,CC,0.37,0.37,161.39,161.76,161.39,161.76,SECT10814592,SHLF10814602,SHLF10814612,0,0,5 CM TO PALEO
117,730,A,18,X,1,1.5,1.5,162.2,163.7,162.2,163.7,SECT10814632,SHLF10814642,SHLF10814652,0,0,
117,730,A,18,X,2,1.5,1.5,163.7,165.2,163.7,165.2,SECT10814662,SHLF10814672,SHLF10814682,0,0,
117,730,A,18,X,3,1.5,1.5,165.2,166.7,165.2,166.7,SECT10814692,SHLF10814702,SHLF10814712,0,0,
117,730,A,18,X,4,1.5,1.5,166.7,168.2,166.7,168.2,SECT10814722,SHLF10814732,SHLF10814742,0,0,OG AT 120-145; IW AT 145-150
117,730,A,18,X,5,1.5,1.5,168.2,169.7,168.2,169.7,SECT10814752,SHLF10814762,SHLF10814772,0,0,
117,730,A,18,X,6,1.5,1.5,169.7,171.2,169.7,171.2,SECT10814782,SHLF10814792,SHLF10814802,0,0,
117,730,A,18,X,7,0.24,0.24,171.2,171.44,171.2,171.44,SECT10814812,SHLF10814822,SHLF10814832,0,0,
117,730,A,18,X,CC,0.16,0.16,171.44,171.6,171.44,171.6,SECT10814842,SHLF10814852,SHLF10814862,0,0,6 CM TO PALEO
117,730,A,19,X,1,1.5,1.5,171.9,173.4,171.9,173.4,SECT10814882,SHLF10814892,SHLF10814902,0,0,
117,730,A,19,X,2,1.5,1.5,173.4,174.9,173.4,174.9,SECT10814912,SHLF10814922,SHLF10814932,0,1,
117,730,A,19,X,3,1.5,1.5,174.9,176.4,174.9,176.4,SECT10814942,SHLF10814952,SHLF10814962,0,0,
117,730,A,19,X,4,1.5,1.5,176.4,177.9,176.4,177.9,SECT10814972,SHLF10814982,SHLF10814992,0,0,
117,730,A,19,X,5,1.5,1.5,177.9,179.4,177.9,179.4,SECT10815002,SHLF10815012,SHLF10815022,0,0,
117,730,A,19,X,6,1.5,1.5,179.4,180.9,179.4,180.9,SECT10815032,SHLF10815042,SHLF10815052,0,0,
117,730,A,19,X,7,0.26,0.26,180.9,181.16,180.9,181.16,SECT10815062,SHLF10815072,SHLF10815082,0,0,
117,730,A,19,X,CC,0.21,0.21,181.16,181.37,181.16,181.37,SECT10815092,SHLF10815102,SHLF10815112,0,0,6 CM TO PALEO
117,730,A,20,X,1,1.5,1.5,181.6,183.1,181.6,183.1,SECT10815132,SHLF10815142,SHLF10815152,0,0,
117,730,A,20,X,2,1.5,1.5,183.1,184.6,183.1,184.6,SECT10815162,SHLF10815172,SHLF10815182,0,0,
117,730,A,20,X,3,1.5,1.5,184.6,186.1,184.6,186.1,SECT10815192,SHLF10815202,SHLF10815212,0,0,
117,730,A,20,X,4,1.5,1.5,186.1,187.6,186.1,187.6,SECT10815222,SHLF10815232,SHLF10815242,0,0,
117,730,A,20,X,5,1.5,1.5,187.6,189.1,187.6,189.1,SECT10815252,SHLF10815262,SHLF10815272,0,0,
117,730,A,20,X,6,1.14,1.14,189.1,190.24,189.1,190.24,SECT10815282,SHLF10815292,SHLF10815302,0,0,
117,730,A,20,X,CC,0.37,0.37,190.24,190.61,190.24,190.61,SECT10815312,SHLF10815322,SHLF10815332,0,0,5 CM TO PALEO
117,730,A,21,X,1,1.5,1.5,191.2,192.7,191.2,192.676,SECT10815352,SHLF10815362,SHLF10815372,0,0,
117,730,A,21,X,2,1.5,1.5,192.7,194.2,192.676,194.151,SECT10815382,SHLF10815392,SHLF10815402,0,0,
117,730,A,21,X,3,1.5,1.5,194.2,195.7,194.151,195.627,SECT10815412,SHLF10815422,SHLF10815432,0,1,
117,730,A,21,X,4,1.5,1.5,195.7,197.2,195.627,197.103,SECT10815442,SHLF10815452,SHLF10815462,0,0,OG AT 120-145; IW AT 145-150
117,730,A,21,X,5,1.5,1.5,197.2,198.7,197.103,198.578,SECT10815472,SHLF10815482,SHLF10815492,0,0,
117,730,A,21,X,6,1.5,1.5,198.7,200.2,198.578,200.054,SECT10815502,SHLF10815512,SHLF10815522,0,0,
117,730,A,21,X,7,0.37,0.37,200.2,200.57,200.054,200.418,SECT10815532,SHLF10815542,SHLF10815552,0,0,
117,730,A,21,X,CC,0.49,0.49,200.57,201.06,200.418,200.9,SECT10815562,SHLF10815572,SHLF10815582,0,0,5 CM TO PALEO
117,730,A,22,X,1,1.5,1.5,200.9,202.4,200.9,202.383,SECT10815602,SHLF10815612,SHLF10815622,0,0,
117,730,A,22,X,2,1.5,1.5,202.4,203.9,202.383,203.866,SECT10815632,SHLF10815642,SHLF10815652,0,0,
117,730,A,22,X,3,1.5,1.5,203.9,205.4,203.866,205.35,SECT10815662,SHLF10815672,SHLF10815682,0,0,
117,730,A,22,X,4,1.5,1.5,205.4,206.9,205.35,206.833,SECT10815692,SHLF10815702,SHLF10815712,0,0,PP AT 140-150
117,730,A,22,X,5,1.5,1.5,206.9,208.4,206.833,208.316,SECT10815722,SHLF10815732,SHLF10815742,0,0,
117,730,A,22,X,6,1.5,1.5,208.4,209.9,208.316,209.799,SECT10815752,SHLF10815762,SHLF10815772,0,0,
117,730,A,22,X,7,0.34,0.34,209.9,210.24,209.799,210.135,SECT10815782,SHLF10815792,SHLF10815802,0,0,
117,730,A,22,X,CC,0.47,0.47,210.24,210.71,210.135,210.6,SECT10815812,SHLF10815822,SHLF10815832,0,0,5 CM TO PALEO
117,730,A,23,X,1,1.5,1.5,210.6,212.1,210.6,212.037,SECT10815852,SHLF10815862,SHLF10815872,0,0,
117,730,A,23,X,2,1.5,1.5,212.1,213.6,212.037,213.474,SECT10815882,SHLF10815892,SHLF10815902,0,0,
117,730,A,23,X,3,1.5,1.5,213.6,215.1,213.474,214.911,SECT10815912,SHLF10815922,SHLF10815932,0,0,
117,730,A,23,X,4,1.5,1.5,215.1,216.6,214.911,216.349,SECT10815942,SHLF10815952,SHLF10815962,0,1,
